background_library,background_line,driver,construct_line,gene_name,vdrc_id,sex_test,driver_present,rnai_construct_present,replicates,net_offspring_produced
GD,808,Act5c,1,CG17012,15570 GD,female,TRUE,TRUE,4,1
GD,808,Act5c,4,NA,NA,female,TRUE,TRUE,10,726
GD,808,Act5c,4,NA,NA,male,TRUE,TRUE,10,288
GD,808,Act5c,7,CG31002,48226 GD,female,TRUE,TRUE,9,515
GD,808,Act5c,7,CG31002,48226 GD,male,TRUE,TRUE,10,588
GD,808,Act5c,8,CG6367,18541 GD,female,TRUE,TRUE,10,753
GD,808,Act5c,8,CG6367,18541 GD,male,TRUE,TRUE,8,525
GD,808,Act5c,11,NA,NA,female,TRUE,TRUE,10,588
GD,808,Act5c,11,NA,NA,male,TRUE,TRUE,10,694
GD,808,Act5c,12,CG18125,47673 GD,female,TRUE,TRUE,10,790
GD,808,Act5c,12,CG18125,47673 GD,male,TRUE,TRUE,10,602
GD,808,Act5c,13,CG31918,13220 GD,female,TRUE,TRUE,10,929
GD,808,Act5c,13,CG31918,13220 GD,male,TRUE,TRUE,10,598
GD,808,Act5c,14,CG31720,51461 GD,female,TRUE,TRUE,10,830
GD,808,Act5c,14,CG31720,51461 GD,male,TRUE,TRUE,9,541
GD,808,Act5c,19,NA,NA,female,TRUE,TRUE,10,859
GD,808,Act5c,19,NA,NA,male,TRUE,TRUE,10,570
GD,808,Act5c,20,CG31941,31141 GD,female,TRUE,TRUE,10,906
GD,808,Act5c,20,CG31941,31141 GD,male,TRUE,TRUE,8,356
GD,808,Act5c,22,CG5609,51124 GD,female,TRUE,TRUE,10,944
GD,808,Act5c,22,CG5609,51124 GD,male,TRUE,TRUE,9,560
GD,808,Act5c,23,CG4712,21925 GD,female,TRUE,TRUE,8,591
GD,808,Act5c,23,CG4712,21925 GD,male,TRUE,TRUE,9,377
GD,808,Act5c,24,CG30448,12997 GD,female,TRUE,TRUE,10,467
GD,808,Act5c,24,CG30448,12997 GD,male,TRUE,TRUE,9,418
GD,808,Act5c,25,NA,NA,female,TRUE,TRUE,10,615
GD,808,Act5c,25,NA,NA,male,TRUE,TRUE,10,505
GD,808,Act5c,27,CG14088,5361 GD,female,TRUE,TRUE,10,494
GD,808,Act5c,27,CG14088,5361 GD,male,TRUE,TRUE,10,489
GD,808,Act5c,29,CG10090,101139 KK and 37346 GD,female,TRUE,TRUE,10,399
GD,808,Act5c,29,CG10090,101139 KK and 37346 GD,male,TRUE,TRUE,10,81
GD,808,Act5c,31,CG17216,51995 GD,female,TRUE,TRUE,9,783
GD,808,Act5c,31,CG17216,51995 GD,male,TRUE,TRUE,10,594
GD,808,Act5c,32,CG30037,12079 GD,female,TRUE,TRUE,10,951
GD,808,Act5c,32,CG30037,12079 GD,male,TRUE,TRUE,10,363
GD,808,Act5c,33,CG18331,48500 GD,female,TRUE,TRUE,9,360
GD,808,Act5c,33,CG18331,48500 GD,male,TRUE,TRUE,4,109
GD,808,Act5c,39,CG1736,32889 GD,female,TRUE,TRUE,7,436
GD,808,Act5c,39,CG1736,32889 GD,male,TRUE,TRUE,10,210
GD,808,Act5c,41,CG4259,2541 GD,female,TRUE,TRUE,9,223
GD,808,Act5c,41,CG4259,2541 GD,male,TRUE,TRUE,9,208
GD,808,Act5c,44,CG30473,27143 GD,female,TRUE,TRUE,10,700
GD,808,Act5c,44,CG30473,27143 GD,male,TRUE,TRUE,10,372
GD,808,Act5c,48,CG10799,16828 GD,female,TRUE,TRUE,10,702
GD,808,Act5c,48,CG10799,16828 GD,male,TRUE,TRUE,10,445
GD,808,Act5c,52,CG33235,48441 GD,female,TRUE,TRUE,10,813
GD,808,Act5c,52,CG33235,48441 GD,male,TRUE,TRUE,10,512
GD,808,Act5c,56,CG2826,46588 GD,female,TRUE,TRUE,10,697
GD,808,Act5c,56,CG2826,46588 GD,male,TRUE,TRUE,10,699
GD,808,Act5c,63,CG6208,40348 GD,female,TRUE,TRUE,10,744
GD,808,Act5c,63,CG6208,40348 GD,male,TRUE,TRUE,10,672
GD,808,Act5c,65,NA,NA,female,TRUE,TRUE,10,805
GD,808,Act5c,65,NA,NA,male,TRUE,TRUE,10,405
GD,808,Act5c,66,CG5103,41647 GD,female,TRUE,TRUE,10,759
GD,808,Act5c,66,CG5103,41647 GD,male,TRUE,TRUE,10,551
GD,808,Act5c,67,CG6541,101870 KK and 27655 GD,female,TRUE,TRUE,10,794
GD,808,Act5c,67,CG6541,101870 KK and 27655 GD,male,TRUE,TRUE,10,477
GD,808,Act5c,68,NA,NA,female,TRUE,TRUE,8,702
GD,808,Act5c,68,NA,NA,male,TRUE,TRUE,9,499
GD,808,Act5c,69,CG42626,19242 GD,female,TRUE,TRUE,10,545
GD,808,Act5c,69,CG42626,19242 GD,male,TRUE,TRUE,5,84
GD,808,Act5c,70,CR13656,23898 GD,female,TRUE,TRUE,10,697
GD,808,Act5c,70,CR13656,23898 GD,male,TRUE,TRUE,10,423
GD,808,Act5c,71,NA,NA,female,TRUE,TRUE,10,668
GD,808,Act5c,71,NA,NA,male,TRUE,TRUE,10,501
GD,808,Act5c,72,CG7800,27121 GD,female,TRUE,TRUE,10,759
GD,808,Act5c,72,CG7800,27121 GD,male,TRUE,TRUE,10,621
GD,808,Act5c,82,CG15635,46490 GD,female,TRUE,TRUE,9,742
GD,808,Act5c,82,CG15635,46490 GD,male,TRUE,TRUE,10,786
GD,808,Act5c,NA,NA,NA,female,TRUE,FALSE,40,3304
GD,808,Act5c,NA,NA,NA,male,TRUE,FALSE,40,2529
GD,808,Nos-GAL4,2,NA,NA,female,TRUE,TRUE,30,1441
GD,808,Nos-GAL4,2,NA,NA,male,TRUE,TRUE,30,1439
GD,808,Nos-GAL4,4,NA,NA,female,TRUE,TRUE,30,1684
GD,808,Nos-GAL4,4,NA,NA,male,TRUE,TRUE,30,1376
GD,808,Nos-GAL4,7,CG31002,48226 GD,female,TRUE,TRUE,30,1582
GD,808,Nos-GAL4,7,CG31002,48226 GD,male,TRUE,TRUE,30,1144
GD,808,Nos-GAL4,8,CG6367,18541 GD,female,TRUE,TRUE,30,1252
GD,808,Nos-GAL4,8,CG6367,18541 GD,male,TRUE,TRUE,30,1213
GD,808,Nos-GAL4,11,NA,NA,female,TRUE,TRUE,30,1267
GD,808,Nos-GAL4,11,NA,NA,male,TRUE,TRUE,30,1128
GD,808,Nos-GAL4,12,CG18125,47673 GD,female,TRUE,TRUE,30,1199
GD,808,Nos-GAL4,12,CG18125,47673 GD,male,TRUE,TRUE,30,1449
GD,808,Nos-GAL4,13,CG31918,13220 GD,female,TRUE,TRUE,30,1076
GD,808,Nos-GAL4,13,CG31918,13220 GD,male,TRUE,TRUE,29,1219
GD,808,Nos-GAL4,14,CG31720,51461 GD,female,TRUE,TRUE,28,1024
GD,808,Nos-GAL4,14,CG31720,51461 GD,male,TRUE,TRUE,30,1288
GD,808,Nos-GAL4,19,NA,NA,female,TRUE,TRUE,30,1901
GD,808,Nos-GAL4,19,NA,NA,male,TRUE,TRUE,30,1482
GD,808,Nos-GAL4,20,CG31941,31141 GD,female,TRUE,TRUE,30,1099
GD,808,Nos-GAL4,20,CG31941,31141 GD,male,TRUE,TRUE,30,1108
GD,808,Nos-GAL4,21,NA,NA,female,TRUE,TRUE,30,2015
GD,808,Nos-GAL4,21,NA,NA,male,TRUE,TRUE,29,1636
GD,808,Nos-GAL4,22,CG5609,51124 GD,female,TRUE,TRUE,28,1146
GD,808,Nos-GAL4,22,CG5609,51124 GD,male,TRUE,TRUE,30,1319
GD,808,Nos-GAL4,23,CG4712,21925 GD,female,TRUE,TRUE,30,1251
GD,808,Nos-GAL4,23,CG4712,21925 GD,male,TRUE,TRUE,30,1164
GD,808,Nos-GAL4,24,CG30448,12997 GD,female,TRUE,TRUE,25,1588
GD,808,Nos-GAL4,24,CG30448,12997 GD,male,TRUE,TRUE,30,1292
GD,808,Nos-GAL4,25,NA,NA,female,TRUE,TRUE,30,1093
GD,808,Nos-GAL4,25,NA,NA,male,TRUE,TRUE,28,1213
GD,808,Nos-GAL4,26,NA,NA,female,TRUE,TRUE,30,1329
GD,808,Nos-GAL4,26,NA,NA,male,TRUE,TRUE,30,1101
GD,808,Nos-GAL4,27,CG14088,5361 GD,female,TRUE,TRUE,30,1354
GD,808,Nos-GAL4,27,CG14088,5361 GD,male,TRUE,TRUE,30,1186
GD,808,Nos-GAL4,29,CG10090,101139 KK and 37346 GD,female,TRUE,TRUE,30,836
GD,808,Nos-GAL4,29,CG10090,101139 KK and 37346 GD,male,TRUE,TRUE,30,938
GD,808,Nos-GAL4,31,CG17216,51995 GD,female,TRUE,TRUE,30,1379
GD,808,Nos-GAL4,31,CG17216,51995 GD,male,TRUE,TRUE,30,1036
GD,808,Nos-GAL4,32,CG30037,12079 GD,female,TRUE,TRUE,30,1485
GD,808,Nos-GAL4,32,CG30037,12079 GD,male,TRUE,TRUE,30,1152
GD,808,Nos-GAL4,33,CG18331,48500 GD,female,TRUE,TRUE,30,1234
GD,808,Nos-GAL4,33,CG18331,48500 GD,male,TRUE,TRUE,30,948
GD,808,Nos-GAL4,35,NA,NA,female,TRUE,TRUE,30,1456
GD,808,Nos-GAL4,35,NA,NA,male,TRUE,TRUE,30,858
GD,808,Nos-GAL4,39,CG1736,32889 GD,female,TRUE,TRUE,29,1148
GD,808,Nos-GAL4,39,CG1736,32889 GD,male,TRUE,TRUE,30,839
GD,808,Nos-GAL4,41,CG4259,2541 GD,female,TRUE,TRUE,30,1235
GD,808,Nos-GAL4,41,CG4259,2541 GD,male,TRUE,TRUE,30,1164
GD,808,Nos-GAL4,44,CG30473,27143 GD,female,TRUE,TRUE,30,1223
GD,808,Nos-GAL4,44,CG30473,27143 GD,male,TRUE,TRUE,30,1445
GD,808,Nos-GAL4,48,CG10799,16828 GD,female,TRUE,TRUE,30,1380
GD,808,Nos-GAL4,48,CG10799,16828 GD,male,TRUE,TRUE,30,1414
GD,808,Nos-GAL4,52,CG33235,48441 GD,female,TRUE,TRUE,30,1492
GD,808,Nos-GAL4,52,CG33235,48441 GD,male,TRUE,TRUE,30,1573
GD,808,Nos-GAL4,56,CG2826,46588 GD,female,TRUE,TRUE,30,971
GD,808,Nos-GAL4,56,CG2826,46588 GD,male,TRUE,TRUE,30,873
GD,808,Nos-GAL4,62,CG14719,32314 GD,female,TRUE,TRUE,30,1051
GD,808,Nos-GAL4,62,CG14719,32314 GD,male,TRUE,TRUE,30,876
GD,808,Nos-GAL4,63,CG6208,40348 GD,female,TRUE,TRUE,30,1065
GD,808,Nos-GAL4,63,CG6208,40348 GD,male,TRUE,TRUE,30,870
GD,808,Nos-GAL4,66,CG5103,41647 GD,female,TRUE,TRUE,30,1020
GD,808,Nos-GAL4,66,CG5103,41647 GD,male,TRUE,TRUE,30,909
GD,808,Nos-GAL4,68,NA,NA,female,TRUE,TRUE,59,1985
GD,808,Nos-GAL4,68,NA,NA,male,TRUE,TRUE,60,1973
GD,808,Nos-GAL4,69,CG42626,19242 GD,female,TRUE,TRUE,30,1726
GD,808,Nos-GAL4,69,CG42626,19242 GD,male,TRUE,TRUE,27,1376
GD,808,Nos-GAL4,72,CG7800,27121 GD,female,TRUE,TRUE,30,2196
GD,808,Nos-GAL4,72,CG7800,27121 GD,male,TRUE,TRUE,30,1449
GD,808,Nos-GAL4,82,CG15635,46490 GD,female,TRUE,TRUE,30,1080
GD,808,Nos-GAL4,82,CG15635,46490 GD,male,TRUE,TRUE,30,877
GD,808,Nos-GAL4,87,NA,NA,female,TRUE,TRUE,59,2455
GD,808,Nos-GAL4,87,NA,NA,male,TRUE,TRUE,60,2212
GD,808,Nos-GAL4,88,NA,NA,female,TRUE,TRUE,30,1012
GD,808,Nos-GAL4,88,NA,NA,male,TRUE,TRUE,30,744
GD,808,Nos-GAL4,91,NA,NA,female,TRUE,TRUE,30,908
GD,808,Nos-GAL4,91,NA,NA,male,TRUE,TRUE,30,835
GD,808,Nos-GAL4,3265,CG2291,3265 GD,female,TRUE,TRUE,30,1228
GD,808,Nos-GAL4,3265,CG2291,3265 GD,male,TRUE,TRUE,30,945
GD,808,Nos-GAL4,43449,CG5213,43449 GD,female,TRUE,TRUE,30,1282
GD,808,Nos-GAL4,43449,CG5213,43449 GD,male,TRUE,TRUE,30,1125
GD,808,Nos-GAL4,NA,NA,NA,female,TRUE,FALSE,154,7419
GD,808,Nos-GAL4,NA,NA,NA,male,TRUE,FALSE,152,5623
GD,808,Tubp-GAL4,1,CG17012,15570 GD,female,TRUE,TRUE,2,0
GD,808,Tubp-GAL4,4,NA,NA,female,TRUE,TRUE,10,777
GD,808,Tubp-GAL4,4,NA,NA,male,TRUE,TRUE,10,273
GD,808,Tubp-GAL4,7,CG31002,48226 GD,female,TRUE,TRUE,10,151
GD,808,Tubp-GAL4,7,CG31002,48226 GD,male,TRUE,TRUE,9,475
GD,808,Tubp-GAL4,8,CG6367,18541 GD,female,TRUE,TRUE,10,825
GD,808,Tubp-GAL4,8,CG6367,18541 GD,male,TRUE,TRUE,9,652
GD,808,Tubp-GAL4,11,NA,NA,female,TRUE,TRUE,10,700
GD,808,Tubp-GAL4,11,NA,NA,male,TRUE,TRUE,10,309
GD,808,Tubp-GAL4,12,CG18125,47673 GD,female,TRUE,TRUE,10,744
GD,808,Tubp-GAL4,12,CG18125,47673 GD,male,TRUE,TRUE,9,429
GD,808,Tubp-GAL4,13,CG31918,13220 GD,female,TRUE,TRUE,10,792
GD,808,Tubp-GAL4,13,CG31918,13220 GD,male,TRUE,TRUE,10,496
GD,808,Tubp-GAL4,14,CG31720,51461 GD,female,TRUE,TRUE,10,810
GD,808,Tubp-GAL4,14,CG31720,51461 GD,male,TRUE,TRUE,10,573
GD,808,Tubp-GAL4,19,NA,NA,female,TRUE,TRUE,10,689
GD,808,Tubp-GAL4,19,NA,NA,male,TRUE,TRUE,10,590
GD,808,Tubp-GAL4,20,CG31941,31141 GD,female,TRUE,TRUE,10,811
GD,808,Tubp-GAL4,20,CG31941,31141 GD,male,TRUE,TRUE,10,699
GD,808,Tubp-GAL4,22,CG5609,51124 GD,female,TRUE,TRUE,9,750
GD,808,Tubp-GAL4,22,CG5609,51124 GD,male,TRUE,TRUE,10,679
GD,808,Tubp-GAL4,23,CG4712,21925 GD,female,TRUE,TRUE,9,481
GD,808,Tubp-GAL4,23,CG4712,21925 GD,male,TRUE,TRUE,8,422
GD,808,Tubp-GAL4,24,CG30448,12997 GD,female,TRUE,TRUE,9,524
GD,808,Tubp-GAL4,24,CG30448,12997 GD,male,TRUE,TRUE,8,269
GD,808,Tubp-GAL4,25,NA,NA,female,TRUE,TRUE,10,659
GD,808,Tubp-GAL4,25,NA,NA,male,TRUE,TRUE,9,474
GD,808,Tubp-GAL4,27,CG14088,5361 GD,female,TRUE,TRUE,10,649
GD,808,Tubp-GAL4,27,CG14088,5361 GD,male,TRUE,TRUE,10,185
GD,808,Tubp-GAL4,31,CG17216,51995 GD,female,TRUE,TRUE,10,649
GD,808,Tubp-GAL4,31,CG17216,51995 GD,male,TRUE,TRUE,10,513
GD,808,Tubp-GAL4,32,CG30037,12079 GD,female,TRUE,TRUE,10,861
GD,808,Tubp-GAL4,32,CG30037,12079 GD,male,TRUE,TRUE,10,454
GD,808,Tubp-GAL4,39,CG1736,32889 GD,female,TRUE,TRUE,10,43
GD,808,Tubp-GAL4,39,CG1736,32889 GD,male,TRUE,TRUE,10,108
GD,808,Tubp-GAL4,41,CG4259,2541 GD,female,TRUE,TRUE,4,159
GD,808,Tubp-GAL4,41,CG4259,2541 GD,male,TRUE,TRUE,4,179
GD,808,Tubp-GAL4,44,CG30473,27143 GD,female,TRUE,TRUE,10,780
GD,808,Tubp-GAL4,44,CG30473,27143 GD,male,TRUE,TRUE,10,432
GD,808,Tubp-GAL4,48,CG10799,16828 GD,female,TRUE,TRUE,10,728
GD,808,Tubp-GAL4,48,CG10799,16828 GD,male,TRUE,TRUE,10,419
GD,808,Tubp-GAL4,52,CG33235,48441 GD,female,TRUE,TRUE,10,766
GD,808,Tubp-GAL4,52,CG33235,48441 GD,male,TRUE,TRUE,10,537
