construct_line,gene_name,fbgn,vdrc_id,gene_origin,gene_age
1,CG17012,FBgn0031406,15570 GD,D,11-25MYA
2,CG7815,FBgn0036497,22567 GD and 109695 KK,R,6-11MYA
3,CG32021,FBgn0052021,102286 KK,A,3-6MYA
4,CG14251  ,FBgn0002838,43585 GD and 102203 KK,D,6-11MYA
5,CG1878 ,FBgn0000278,103148 KK,D,11-25MYA
6,CG32283,FBgn0052283,105013 KK,D,6-11MYA
7,CG31002,FBgn0051002,48226 GD,D,6-11MYA
8,CG6367,FBgn0030926,18541 GD,D,6-11MYA
9,CG10852,FBgn0015585,106565 KK,A,6-11MYA
10,CG6639,FBgn0032638,104307 KK,R,6-11MYA
11,CG16931,FBgn0004588,23534 GD and 106010 KK,D,11-25MYA
12,CG18125,FBgn0264253,47673 GD,D,11-25MYA
13,CG31918,FBgn0031678,13220 GD,D,11-25MYA
14,CG31720,FBgn0051720,51461 GD,D,11-25MYA
15,CG8856,FBgn0020377,100928 KK,D,6-11MYA
16,CG7157,FBgn0011559,105453 KK,D,6-11MYA
17,CG15882,FBgn0030983,104267 KK,A,6-11MYA
18,CG3217,FBgn0025676,102373 KK,D,6-11MYA
19,CG14027,FBgn0031701,6957 GD and 106727 KK,D,6-11MYA
20,CG31941,FBgn0043539,31141 GD,D,6-11MYA
21,CG33490,FBgn0053490,22221 GD and 101678 KK,D,11-25MYA
22,CG5609,FBgn0038838,51124 GD,D,6-11MYA
23,CG4712,FBgn0033818,21925 GD,D,11-25MYA
24,CG30448,FBgn0043532,12997 GD,D,6-11MYA
25,CG31932,FBgn0041249,42744 GD and 102860 KK,D,6-11MYA
26,CG4691,FBgn0028870,21920 GD and 109704 KK,D,11-25MYA
27,CG14088,FBgn0036858, 5361 GD,R,6-11MYA
28,CG33533,FBgn0053533,107567 KK,D,6-11MYA
29,CG10090,FBgn0038018,101139 KK and 37346 GD,D,6-11MYA
30,CG9720,FBgn0039783,100523 KK,D,11-25MYA
31,CG17216,FBgn0026063,51995 GD,D,6-11MYA
32,CG30037 ,FBgn0050037,12079 GD,D,11-25MYA
33,CG18331,FBgn0036181,48500 GD,R,0-3MYA
34,CG32110,FBgn0052110,107634 KK,R,6-11MYA
35,CG31817,FBgn0028899,34004 GD and 109707 KK,D,6-11MYA
36,CG13977,FBgn0039519,100415 KK,D,6-11MYA
37,CG30450,FBgn0043533,101927 KK,D,11-25MYA
38,CG5372,FBgn0034880,100120 KK,D,6-11MYA
39,CG1736,FBgn0261395,32889 GD,R,6-11MYA
40,CG32368,FBgn0052368,103313 KK,A,6-11MYA
41,CG4259,FBgn0031389,2541 GD,D,11-25MYA
42,CG10232,FBgn0039108,100033 KK,D,6-11MYA
43,CG46386,FBgn0286809,100382 KK,D,11-25MYA
44,CG30473,FBgn0043530,27143 GD,D,6-11MYA
45,CG7676,FBgn0038612,101813 KK,D,11-25MYA
46,CG31208,FBgn0045471,102611 KK,D,11-25MYA
47,CG3410,FBgn0040104,107254 KK,D,3-6MYA
48,CG10799,FBgn0033821,16828 GD,D,11-25MYA
49,CG31782,FBgn0263744,100145 KK,D,11-25MYA
50,CG8953,FBgn0015008,106162 KK,R,11-25MYA
51,CG15734,FBgn0030374,103519 KK,A,11-25MYA
52,CG33235,FBgn0030307,48441 GD,D,6-11MYA
53,CR18228,FBgn0037560,101647 KK,D,11-25MYA
54,CG8219,FBgn0035693,103487 KK,D,6-11MYA
55,CG32580,FBgn0052580,105591 KK,D,6-11MYA
56,CG2826,FBgn0040107,46588 GD,D,6-11MYA
57,CG32853,FBgn0045442,105546 KK,D,6-11MYA
58,CG30150,FBgn0043536,101783 KK,D,11-25MYA
59,CG5662,FBgn0030620,102645 KK,R,11-25MYA
60,CG2885,FBgn0030200,103311 KK,D,3-6MYA
61,CG13686,FBgn0040106,106450 KK,D,6-11MYA
62,CG14719,FBgn0025821,32314 GD,D,6-11MYA
63,CG6208,FBgn0266721,40348 GD,R,6-11MYA
64,CG10246 ,FBgn0013771,100143 KK,D,11-25MYA
65,CG1361,FBgn0000094,9706 GD and 109202 KK,A,6-11MYA
66,CG5103,FBgn0036784,41647 GD,D,11-25MYA
67,CG6541,FBgn0028412,101870 KK and 27655 GD,A,11-25MYA
68,CG4477,FBgn0035971,39487 GD and 106868 KK,D,11-25MYA
69,CG42626,FBgn0261349,19242 GD,D,6-11MYA
70,CR13656,FBgn0039307,23898 GD,D,6-11MYA
71,CG43340,FBgn0263077,31006 GD and 104153 KK,D,11-25MYA
72,CG7800,FBgn0037552,27121 GD,D,11-25MYA
73,CG40635,FBgn0085506,110107 KK,A?,0-3MYA
74,CG12725,FBgn0030483,103003 KK,D,3-6MYA
75,CG17440,FBgn0030120,104733 KK,D,3-6MYA
76,CG5334,FBgn0030577,102765 KK,D,3-6MYA
77,CG12493,FBgn0035571,102360 KK,D,3-6MYA
78,CG11942,FBgn0031074,109539 KK,D,3-6MYA
79,CG15578,FBgn0040905,105846 KK,D,3-6MYA
80,CG14810,FBgn0029589,109519 KK,D,3-6MYA
81,CG17797,FBgn0015583,100995 KK,D,3-6MYA
82,CG15635,FBgn0031617,46490 GD,R,3-6MYA
83,CG31668,FBgn0051668,104093 KK,D,0-3MYA
84,CG1924,FBgn0030377,102773 KK,R,3-6MYA
85,CG18157,FBgn0030563,103346 KK,D,3-6MYA
86,CR11023,FBgn0031208,NV46,D,0-3MYA
87,CG13402,FBgn0030538,30051 GD and 110129 KK,D,0-3MYA
88,CG4478,FBgn0013301,37704 GD and 102917 KK,D,0-3MYA
89,CR31953,FBgn0051953,NVSQX89,D,0-3MYA
90,CR32821,FBgn0052821,NVSQX90,D,0-3MYA
91,CG33105,FBgn0053105,5843 GD and 109179 KK,D,0-3MYA
92,CG5640,FBgn0260749,105986 KK,NA,>35MYA
93,CG17149,FBgn0260397,106147 KK,NA,>35MYA
94,CG11213,FBgn0000360,106008 KK,NA,>35MYA
95,CG34157,FBgn0260003,106401 KK,NA,>35MYA
96,CG42333,FBgn0261090,106559 KK,NA,>35MYA
97,CG42734,FBgn0261788,107369 KK,NA,>35MYA
98,CG9699,FBgn0259923,109398 KK,NA,>35MYA
99,CG12926,FBgn0033437,109580 KK,NA,>35MYA
100,CG1973,FBgn0260990,110214 KK,NA,>35MYA
101,CG42399,FBgn0259818,110484 KK,NA,>35MYA
102,CG43338,FBgn0263079,110509 KK,NA,>35MYA
103,CG1009,FBgn0261243,110657 KK,NA,>35MYA
104,CG9746,FBgn0260935,110706 KK,NA,>35MYA
105,CG13253,FBgn0037015,101249 KK,NA,>35MYA
106,CG5857,FBgn0039125,101264 KK,NA,>35MYA
107,CG42252,FBgn0259110,103449 KK,NA,>35MYA
108,CG2374,FBgn0016032,102739 KK,NA,>35MYA
109,CG30425 ,FBgn0066084,103332 KK,NA,>35MYA
110,CG18675,FBgn0040696,105164 KK,NA,>35MYA
111,CG1906,FBgn0086361,105483 KK,NA,>35MYA
112,CG12817,FBgn0037798,106952 KK,NA,>35MYA
113,CG7003,FBgn0036486,108076 KK,NA,>35MYA
114,CG1193,FBgn0037375,108168 KK,NA,>35MYA
115,CG8169,FBgn0011660,108638 KK,NA,>35MYA
116,CG1113,FBgn0037304,101239 KK,NA,>35MYA
117,CG32521,FBgn0052521,110002 KK,NA,>35MYA
118,CG1900 ,FBgn0030391,110563 KK,NA,>35MYA
119,CG42747 ,FBgn0261801,101775 KK,NA,>35MYA
120,CG13377,FBgn0261446,102820 KK,NA,>35MYA
121,CG42340,FBgn0259242,104521 KK,NA,>35MYA
122,CG33962,FBgn0014464,105029 KK,NA,>35MYA
123,CG43129,FBgn0262599,105040 KK,NA,>35MYA
124,CG4098,FBgn0036648,105277 KK,NA,>35MYA
125,CG43129,FBgn0262599,105788 KK,NA,>35MYA
